n001.hpc
2021. 12. 23. (목) 19:50:42 KST
Graph is built!
Epoch 0000: Validation ELBO Loss: -174.9530, Validation Recon: 40.4782, Validation Prior: -216.6459, Validation Accuracy: 55.120%
Epoch 0028: Test ELBO Loss: -352.7774, Test Recon: 25.5272, Test Prior: -378.3817, Test Accuracy: 97.730%
Epoch 0029: Validation ELBO Loss: -354.4040, Validation Recon: 26.3861, Validation Prior: -380.8401, Validation Accuracy: 98.500%
Epoch 0029: Test ELBO Loss: -355.9489, Test Recon: 25.9053, Test Prior: -381.9249, Test Accuracy: 98.000%
Epoch 0030: Validation ELBO Loss: -359.3407, Validation Recon: 26.2967, Validation Prior: -385.7004, Validation Accuracy: 98.320%
Epoch 0030: Test ELBO Loss: -360.7094, Test Recon: 26.0772, Test Prior: -386.8713, Test Accuracy: 97.730%
Epoch 0031: Validation ELBO Loss: -357.2532, Validation Recon: 26.8321, Validation Prior: -384.1303, Validation Accuracy: 98.640%
Epoch 0031: Test ELBO Loss: -358.6928, Test Recon: 26.3233, Test Prior: -385.0769, Test Accuracy: 98.340%
Epoch 0032: Validation ELBO Loss: -353.5639, Validation Recon: 25.4300, Validation Prior: -379.0485, Validation Accuracy: 98.420%
Epoch 0032: Test ELBO Loss: -354.6782, Test Recon: 25.0560, Test Prior: -379.8050, Test Accuracy: 98.160%
Epoch 0033: Validation ELBO Loss: -357.0756, Validation Recon: 26.9604, Validation Prior: -384.1032, Validation Accuracy: 97.960%
Epoch 0033: Test ELBO Loss: -358.5263, Test Recon: 26.4743, Test Prior: -385.0888, Test Accuracy: 97.430%
Epoch 0034: Validation ELBO Loss: -365.5656, Validation Recon: 23.6694, Validation Prior: -389.2963, Validation Accuracy: 98.080%
Epoch 0034: Test ELBO Loss: -367.1755, Test Recon: 23.2811, Test Prior: -390.5375, Test Accuracy: 97.660%
Epoch 0035: Validation ELBO Loss: -351.3265, Validation Recon: 27.1202, Validation Prior: -378.5003, Validation Accuracy: 98.320%
Epoch 0035: Test ELBO Loss: -353.1945, Test Recon: 26.5162, Test Prior: -379.7810, Test Accuracy: 97.970%
Epoch 0036: Validation ELBO Loss: -364.0831, Validation Recon: 28.0529, Validation Prior: -392.1936, Validation Accuracy: 98.080%
